Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Returns,Payment Mode
8593,CA-2020-101700,23-Apr-2020,26-Apr-2020,First Class,SO-20335,Sean O'Donnell,Consumer,United States,Greeley,Colorado,West,FUR-FU-10001025,Furniture,Furnishings,"Eldon Imàge Series Desk Accessories, Clear",114.664,3,3.3534,1,Online
9525,CA-2020-156958,05-Dec-2020,06-Dec-2020,First Class,PB-18805,Patrick Bzostek,Home Office,United States,Seattle,Washington,West,OFF-BI-10001524,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,150.92,5,29.372,1,Online
7241,CA-2020-136651,23-Apr-2020,25-Apr-2020,Second Class,JF-15355,Jay Fein,Consumer,United States,Pasadena,California,West,FUR-FU-10002445,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",112.36,7,26.544,1,COD
6127,CA-2020-145772,03-Jun-2020,07-Jun-2020,Standard Class,SS-20140,Saphhira Shifley,Corporate,United States,Los Angeles,California,West,OFF-BI-10002049,Office Supplies,Binders,UniKeep View Case Binders,94.912,1,1.2714,1,Online
1943,CA-2020-144064,29-Aug-2020,01-Sept-2020,First Class,CP-12085,Cathy Prescott,Corporate,United States,Quincy,Illinois,Central,OFF-ST-10004507,Office Supplies,Storage,Advantus Rolling Storage Box,93.44,2,2.401,1,Online
9769,CA-2020-142328,07-Dec-2020,14-Dec-2020,Standard Class,TC-21535,Tracy Collins,Home Office,United States,San Francisco,California,West,OFF-PA-10000380,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",159.04,6,25.02,1,Online
9526,CA-2020-156958,05-Dec-2020,06-Dec-2020,First Class,PB-18805,Patrick Bzostek,Home Office,United States,Seattle,Washington,West,FUR-FU-10003268,Furniture,Furnishings,Eldon Radial Chair Mat for Low to Medium Pile Carpets,223.9,5,39.98,1,COD
5744,US-2020-147886,28-Mar-2020,31-Mar-2020,First Class,DH-13075,Dave Hallsten,Corporate,United States,Fairfield,California,West,OFF-PA-10000743,Office Supplies,Paper,Xerox 1977,150.04,3,9.6192,1,Online
7243,CA-2020-136651,23-Apr-2020,25-Apr-2020,Second Class,JF-15355,Jay Fein,Consumer,United States,Pasadena,California,West,FUR-FU-10004864,Furniture,Furnishings,Eldon 500 Class Desk Accessories,149.14,2,7.9662,1,Cards
7214,CA-2020-154949,15-Oct-2020,19-Oct-2020,Standard Class,MC-17275,Marc Crier,Consumer,United States,Camarillo,California,West,OFF-LA-10002034,Office Supplies,Labels,Avery 478,108.73,3,7.2177,1,Online
4953,CA-2020-117926,08-Dec-2020,12-Dec-2020,Second Class,AS-10225,Alan Schoenberger,Corporate,United States,San Francisco,California,West,OFF-AP-10002670,Office Supplies,Appliances,Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors,164.48,1,20.844,1,COD
2844,CA-2020-112865,18-May-2020,22-May-2020,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Philadelphia,Pennsylvania,East,TEC-AC-10000387,Technology,Accessories,KeyTronic KT800P2 - Keyboard - Black,133.048,3,-0.9012,1,Online
1942,CA-2020-144064,29-Aug-2020,01-Sept-2020,First Class,CP-12085,Cathy Prescott,Corporate,United States,Quincy,Illinois,Central,OFF-LA-10004544,Office Supplies,Labels,Avery 505,137.36,4,17.76,1,COD
7960,CA-2020-131807,05-Oct-2020,10-Oct-2020,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Chico,California,West,FUR-TA-10004086,Furniture,Tables,KI Adjustable-Height Table,236.352,3,5.1588,1,Online
2949,CA-2020-169859,14-Dec-2020,18-Dec-2020,Standard Class,MP-18175,Mike Pelletier,Home Office,United States,San Diego,California,West,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",502.7,5,20.539,1,COD
566,CA-2020-137099,07-Dec-2020,10-Dec-2020,First Class,FP-14320,Frank Preis,Consumer,United States,Los Angeles,California,West,TEC-PH-10002496,Technology,Phones,Cisco SPA301,400.376,3,46.797,1,COD
5268,CA-2020-147452,30-Sept-2020,03-Oct-2020,First Class,CS-11845,Cari Sayre,Corporate,United States,Seattle,Washington,West,OFF-AP-10001626,Office Supplies,Appliances,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",108.89,1,1.0114,1,Cards
1944,CA-2020-144064,29-Aug-2020,01-Sept-2020,First Class,CP-12085,Cathy Prescott,Corporate,United States,Quincy,Illinois,Central,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,96.24,9,-5.184,1,COD
3379,CA-2020-142867,17-Mar-2020,21-Mar-2020,Standard Class,PO-19180,Philisse Overcash,Home Office,United States,Houston,Texas,Central,OFF-BI-10003166,Office Supplies,Binders,GBC Plasticlear Binding Covers,119.776,6,-22.0416,1,Cards
8576,CA-2020-101273,27-Aug-2020,30-Aug-2020,Second Class,ST-20530,Shui Tom,Consumer,United States,Port Saint Lucie,Florida,South,OFF-AP-10000804,Office Supplies,Appliances,Hoover Portapower Portable Vacuum,125.336,4,0.896,1,COD
